train_win,test_win,lag,same_state,state_i,state_j,jsd,pair_id,seed,f1
10,20,10,0,3,2,0.068201,370,-1,0.4496649503707886
10,21,11,0,3,2,0.093786,371,-1,0.45740121603012085
10,22,12,0,3,2,0.141456,372,-1,0.40027889609336853
10,23,13,0,3,6,0.150368,373,-1,0.38302332162857056
10,24,14,0,3,6,0.127255,374,-1,0.4013303518295288
10,25,15,0,3,6,0.153556,375,-1,0.40240293741226196
10,26,16,0,3,6,0.169866,376,-1,0.3897901773452759
10,27,17,0,3,6,0.17171,377,-1,0.40435755252838135
10,28,18,0,3,1,0.203467,378,-1,0.38879695534706116
10,29,19,0,3,1,0.223217,379,-1,0.3833758533000946
10,30,20,0,3,1,0.219923,380,-1,0.389905720949173
10,31,21,0,3,1,0.302159,381,-1,0.3496904671192169
10,32,22,0,3,1,0.310383,382,-1,0.3399242162704468
10,33,23,0,3,1,0.317228,383,-1,0.3511415421962738
10,34,24,0,3,4,0.297438,384,-1,0.28239890933036804
11,0,11,0,3,0,0.006325,11,-1,0.6461817026138306
11,1,10,0,3,0,0.002366,46,-1,0.662954568862915
11,2,9,0,3,0,0.005785,81,-1,0.6614965200424194
11,3,8,0,3,0,0.004618,116,-1,0.658641517162323
11,4,7,0,3,0,0.00466,151,-1,0.6428614854812622
11,5,6,0,3,0,0.003476,186,-1,0.6303020119667053
11,6,5,0,3,0,0.002134,221,-1,0.6311070322990417
11,7,4,0,3,0,0.001238,256,-1,0.653061032295227
11,8,3,1,3,3,0.001469,291,-1,0.6505175232887268
11,9,2,1,3,3,0.001978,326,-1,0.6397324204444885
11,10,1,1,3,3,0.001315,361,-1,0.6462694406509399
11,12,1,0,3,5,0.02504,397,-1,0.6151638627052307
11,13,2,0,3,5,0.012375,398,-1,0.6396797895431519
11,14,3,0,3,5,0.028372,399,-1,0.5184233784675598
11,15,4,0,3,5,0.033476,400,-1,0.5177459716796875
11,16,5,0,3,5,0.042953,401,-1,0.49481746554374695
11,17,6,0,3,5,0.047382,402,-1,0.49516957998275757
11,18,7,0,3,5,0.043333,403,-1,0.5132973194122314
11,19,8,0,3,5,0.041646,404,-1,0.5123016834259033
11,20,9,0,3,2,0.060096,405,-1,0.44529595971107483
11,21,10,0,3,2,0.082401,406,-1,0.45553895831108093
11,22,11,0,3,2,0.126859,407,-1,0.398725301027298
11,23,12,0,3,6,0.133521,408,-1,0.38391590118408203
11,24,13,0,3,6,0.112677,409,-1,0.40226539969444275
11,25,14,0,3,6,0.136043,410,-1,0.40064162015914917
11,26,15,0,3,6,0.151804,411,-1,0.3904784917831421
11,27,16,0,3,6,0.155401,412,-1,0.4043193757534027
11,28,17,0,3,1,0.186786,413,-1,0.3934983015060425
11,29,18,0,3,1,0.206815,414,-1,0.38267505168914795
11,30,19,0,3,1,0.205216,415,-1,0.39041924476623535
11,31,20,0,3,1,0.285529,416,-1,0.3508794903755188
11,32,21,0,3,1,0.292975,417,-1,0.3431876301765442
11,33,22,0,3,1,0.299623,418,-1,0.35487526655197144
11,34,23,0,3,4,0.269267,419,-1,0.28177526593208313
12,0,12,0,5,0,0.042011,12,-1,0.6401189565658569
12,1,11,0,5,0,0.033407,47,-1,0.6707755923271179
12,2,10,0,5,0,0.039349,82,-1,0.6551802158355713
12,3,9,0,5,0,0.039606,117,-1,0.6576057076454163
12,4,8,0,5,0,0.039588,152,-1,0.642152726650238
12,5,7,0,5,0,0.037533,187,-1,0.6160567402839661
12,6,6,0,5,0,0.030965,222,-1,0.6698248386383057
12,7,5,0,5,0,0.028056,257,-1,0.6513256430625916
12,8,4,0,5,3,0.025125,292,-1,0.6512390375137329
12,9,3,0,5,3,0.025875,327,-1,0.6448997855186462
12,10,2,0,5,3,0.027904,362,-1,0.6496774554252625
